ID	Comunidad	Via	pValue	ncomu	nvia	nComVia	ElementsComVia
PRKACB.hsa04723	PRKACB	hsa04723	5.8474233544945e-26	473	111	46	PRKACB,PRKACG,PRKACA,GNG13,GNB1,GNG7,NDUFC2KCTD14,NDUFA11,NDUFS7,NDUFA1,NDUFA2,NDUFA3,NDUFA4,NDUFA5,NDUFA6,NDUFA7,NDUFA8,NDUFA9,NDUFA10,NDUFAB1,NDUFB1,NDUFB2,NDUFB3,NDUFB4,NDUFB5,NDUFB6,NDUFB7,NDUFB8,NDUFB9,NDUFB10,NDUFC1,NDUFC2,NDUFS1,NDUFS2,NDUFS3,NDUFV1,NDUFS4,NDUFS5,NDUFS6,NDUFS8,NDUFV2,NDUFV3,NDUFA13,NDUFB11,NDUFA12,NDUFA4L2
PRKACB.hsa04740	PRKACB	hsa04740	0	473	447	418	PRKACB,PRKACG,PRKACA,GNG13,GNB1,GNG7,ARRB2,GNAL,ARRB1,GRK2,GRK3,LOC102723532,LOC105369274,OR5I1,LOC107987545,LOC112268384,OR52E2,OR52J3,OR51L1,OR51A7,OR51S1,OR51F2,OR52R1,OR4C46,OR4X2,OR4B1,OR52M1,OR52K2,OR5P2,OR5P3,OR8I2,OR2D3,OR2D2,OR52W1,OR56A4,OR56A1,OR2AP1,OR10P1,OR10AD1,OR10A7,OR4K14,OR4L1,OR11H6,OR4D2,OR7D4,OR7G1,OR1M1,OR1I1,OR10H4,OR2M5,OR2M3,OR2T12,OR14C36,OR2T34,OR2T10,OR2T4,OR2T11,OR10J5,OR2AJ1,OR2B11,OR10T2,OR6P1,OR10X1,OR10Z1,OR6K6,OR6N1,OR9A4,OR2Y1,OR9A2,OR2A14,OR6B1,OR2F2,OR13C5,OR13C8,OR13C3,OR13C4,OR13F1,OR1L8,OR1N2,OR1N1,OR52B4,OR52I2,OR51E1,OR10A5,OR2AG1,OR6B3,OR1Q1,OR7D2,OR56B4,OR8U1,OR4C16,OR4C11,OR4S2,OR4C6,OR5D14,OR5L1,OR5D18,OR5AS1,OR8K5,OR5T2,OR8H1,OR8K3,OR8J1,OR5R1,OR5M3,OR5M8,OR5M11,OR5AR1,OR8B12,OR8G5,OR10G8,OR10G9,OR10S1,OR6T1,OR4D5,OR6Q1,OR9I1,OR9Q1,OR9Q2,OR1S2,OR1S1,OR10Q1,OR5B17,OR5B21,OR5A2,OR5A1,OR4D6,OR4D11,OR52A1,OR6C74,OR6C3,OR2T6,OR1L4,OR52B2,OR4C3,OR4S1,OR51F1,OR1C1,OR1A2,OR2F1,OR2B6,OR1J4,OR2M4,OR2L2,OR2K2,OR7A17,OR5L2,OR5K1,OR5H1,OR10J1,OR8G2P,OR8B8,OR8G1,OR10A3,OR10D3,OR12D2,OR12D1,OR11A1,OR10H3,OR10G3,OR10G2,OR10H2,OR10H1,OR8B2,OR7E24,OR7C2,OR7A5,OR7C1,OR4F4,OR4F3,OR4E2,OR4E1,OR4D1,OR2W1,OR2V1,OR2T1,OR2J2,OR2H1,OR1L3,OR1L1,OR1J2,OR51B5,OR10AG1,OR5J2,OR4C13,OR4C12,OR52Z1,OR51V1,OR8D1,OR8D2,OR8B4,OR9G4,OR10A4,OR6C6,OR4K3,OR4N4,OR2Z1,OR10H5,OR2L13,OR14A16,OR2V2,OR13C9,OR13D1,OR8D4,OR5F1,OR5AP2,OR52L1,OR2AG2,OR52B6,OR2AT4,OR10A2,OR6C2,OR6C4,OR8S1,OR6S1,OR6F1,OR14K1,OR2W3,OR2T8,OR2T3,OR10R2,OR2T29,OR6V1,OR2A12,OR2A1,OR1J1,OR1B1,OR13H1,OR56B1,OR14A2,OR6B2,OR52K1,OR52I1,OR51D1,OR52A5,OR51B6,OR51M1,OR51Q1,OR51I1,OR51I2,OR52D1,OR52H1,OR52N4,OR52N5,OR52N2,OR52E6,OR52E8,OR52E4,OR52E5,OR56A3,OR56A5,OR10A6,OR4X1,OR5D13,OR5D16,OR5W2,OR8H2,OR8H3,OR5T3,OR5T1,OR8K1,OR5M9,OR5M10,OR5M1,OR9G1,OR5AK2,OR5B2,OR5B12,OR5AN1,OR4D10,OR4D9,OR10V1,OR6X1,OR6M1,OR10G4,OR10G7,OR8B3,OR8A1,OR6C1,OR6C75,OR6C76,OR6C70,OR4N2,OR4K2,OR4Q2,OR4K13,OR4K17,OR4N5,OR11G2,OR11H7,OR11H4,OR5AU1,OR4M2,OR4F6,OR4F15,OR7G2,OR7G3,OR7A10,OR10K2,OR10K1,OR6Y1,OR6K3,OR10J4,OR11L1,OR2L8,OR2AK2,OR2L3,OR2M2,OR2T33,OR2M7,OR2G6,OR10AC1,OR2A25,OR13J1,OR13C2,OR1L6,OR5C1,OR1K1,OR2A5,OR2A7,OR51H1,OR51T1,OR51A4,OR51A2,OR2T2,OR2T5,OR14I1,OR5K2,OR2A42,OR2T27,OR2T35,OR4A47,OR4C45,OR5H14,OR5H15,OR5K3,OR5K4,OR6C65,OR6C68,OR11H12,OR4F21,OR5B3,OR9K2,OR4Q3,OR4M1,OR10J3,OR2W5,OR13G1,OR1F12,OR2B3,OR2J1,OR2J3,OR14J1,OR10C1,OR2A2,OR1D2,OR1F1,OR2C1,OR3A1,OR3A2,OR8U8,OR8U9,OR9G9,OR2S2,OR1D4,OR4F29,OR13A1,OR5H6,OR52E1,OR5H2,OR4K5,OR2H2,OR51G1,OR11H2,OR51B4,OR51B2,OR4C5,OR51J1,OR52N1,OR5AL1,OR10G6,OR4F5,OR2A4,OR4K1,OR6J1,OR5AC2,OR11H1,OR4F17,OR4K15,OR8J3,OR51G2,OR51E2,OR4P4,OR4C15,OR4A5,OR4A16,OR4A15,OR10W1,OR2AE1,OR4F16,OR6N2,OR6K2,OR2T7,OR2L5,OR2G3,OR2G2,OR2C3,OR5V1,OR2B2,OR12D3,OR1A1,OR1D5,OR1E1,OR1E2,OR1E3,OR1G1,OR3A3,OR6A2
PDGFRB.hsa04630	PDGFRB	hsa04630	2.52428373353266e-181	122	161	108	PDGFRB,JAK2,JAK3,JAK1,IL2RG,IL2RA,PDGFA,IL2RB,PDGFB,IL12RB1,IL6ST,IL4R,EGF,IL12RB2,CSF2RB,TYK2,IL6R,LEPR,IL3RA,LIFR,IL12B,IFNGR1,IFNGR2,IL6,IL12A,IFNG,IL7R,IL15RA,IL10RB,IL4,IL23R,IFNAR1,PRLR,IFNB1,IFNAR2,IL27RA,OSMR,CNTFR,IL20RA,IL21R,CSF2RA,IL10RA,IL20RB,IL22RA1,CSF3R,IL9R,CRLF2,IL5RA,IL13RA1,IL13RA2,IL11RA,IFNLR1,IL2,EPOR,GHR,MPL,IL22RA2,IL10,CSF2,IL23A,IL21,IFNA1,IFNA2,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNA10,IFNA14,IFNA16,IFNA17,IFNA21,IL5,IL13,IL22,EPO,IL15,IL3,IFNA13,IFNW1,IFNK,IFNE,IL7,CSH1,CSH2,GH1,GH2,PRL,OSM,IL17D,IL9,TSLP,THPO,LEP,IL11,CNTF,CTF1,LIF,IL19,IL20,IL24,IFNL2,IFNL3,IFNL1,CSF3,STAM2,STAM
HRAS.hsa04012	HRAS	hsa04012	5.54290996608591e-23	164	85	26	HRAS,KRAS,NRAS,EGFR,GRB2,ERBB2,ERBB3,ERBB4,SHC1,SHC4,SHC2,SHC3,TGFA,GAB1,AREG,CBL,EREG,SOS1,SOS2,CBLB,ABL1,NRG1,NRG2,BTC,NRG3,NRG4
HRAS.hsa04014	HRAS	hsa04014	2.54657035623057e-108	164	233	97	HRAS,KRAS,NRAS,EGFR,PDGFRA,RRAS2,MRAS,RRAS,IGF1R,FGFR3,GRB2,FGFR2,FGFR4,INSR,MET,KDR,NGFR,FGFR1,KIT,NTRK1,CSF1R,FLT1,FLT4,INS,FLT3,TEK,NTRK2,EPHA2,VEGFA,SHC1,SHC4,FGF2,SHC2,SHC3,VEGFD,BDNF,VEGFB,VEGFC,TGFA,IGF1,PGF,ANGPT2,ANGPT1,ANGPT4,GAB1,FGF1,PDGFC,PDGFD,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGF10,FGF20,FGF21,FGF22,IGF2,NTF3,FGF23,FGF18,FGF17,FGF16,FGF19,CSF1,EFNA1,EFNA2,EFNA3,EFNA4,EFNA5,FLT3LG,KITLG,NGF,NTF4,SOS1,HGF,ABL1,RASSF1,RIN1,RASA2,RGL1,RGL2,BRAP,RAPGEF5,SHOC2,NF1,RASA1,RASA4B,RASA4,RASA3,RASAL3,RASAL1,SYNGAP1,RASAL2,KSR2
HRAS.hsa04144	HRAS	hsa04144	3.34471064658277e-24	164	95	28	EGFR,PDGFRA,IGF1R,FGFR3,FGFR2,FGFR4,CBL,CBLB,MDM2,SH3KBP1,SH3GLB1,SH3GLB2,SH3GL1,SH3GL2,SH3GL3,SMURF1,SMURF2,NEDD4L,ITCH,NEDD4,CBLC,RNF41,WWP1,EPS15,EPS15L1,EPN2,EPN1,EPN3
HRAS.hsa04722	HRAS	hsa04722	1.87598642936157e-21	164	117	28	HRAS,KRAS,NRAS,GRB2,NGFR,NTRK1,IRS1,NTRK2,SHC1,SHC4,SHC2,SHC3,BDNF,GAB1,NTF3,NGF,NTF4,SOS1,SOS2,NTRK3,ABL1,SH2B2,SH2B3,SH2B1,MATK,PRDM4,MAGED1,SORT1
HRAS.hsa05206	HRAS	hsa05206	1.60084079186289e-10	164	260	26	HRAS,KRAS,NRAS,EGFR,PDGFRA,FGFR3,GRB2,ERBB2,MET,ERBB3,IRS1,VEGFA,SHC1,SHC4,SOS1,SOS2,MDM2,CDKN2A,RASSF1,MIR125A,MIR125B1,MIR125B2,MIRLET7C,MIR99A,MIR100,MIR602
GNAI1.hsa04020	GNAI1	hsa04020	2.18491452782596e-41	151	130	43	GNAQ,GNAS,PLCB2,PLCB1,PLCB3,PLCB4,GNA11,CAMK4,CHRM2,CHRM1,ADCY3,F2R,ADCY1,ADCY8,GRM1,GNA15,GNA14,GRM5,AGTR1,AVPR1A,AVPR1B,PTGFR,BDKRB2,EDNRB,BDKRB1,ADRA1D,ADRA1B,CHRM3,CCKAR,TBXA2R,HRH1,PTGER1,PTAFR,CCKBR,CYSLTR1,GRPR,NTSR1,LTB4R2,CYSLTR2,TACR2,TACR1,TACR3,TRHR
GNAI1.hsa04022	GNAI1	hsa04022	5.27063514121557e-29	151	173	38	GNAI1,GNAI2,GNAI3,GNAQ,PLCB2,PLCB1,PLCB3,PLCB4,PRKCE,GNA11,GNA13,ADCY3,ADCY5,ADCY9,PIK3CG,ADCY1,ADCY6,ADCY8,PIK3R6,PIK3R5,ADCY2,ADCY7,ADCY4,GNA12,C00942,AGTR1,BDKRB2,EDNRB,KNG1,ADRA1D,ADRA1B,ADRB3,ADORA3,OPRD1,ADRA2A,ADRA2B,ADRA2C,KCNJ8
