NODEA	INTERACTION	NODEB	NPATHWAYS	PATHWAY	ALL-PATHS
ESR1	interaction	BCL2	1	hsa04915	hsa04915
ESR2	interaction	BCL2	1	hsa04915	hsa04915
NCOA2	interaction	BCL2	1	hsa04915	hsa04915
NCOA3	interaction	BCL2	1	hsa04915	hsa04915
NCOA1	interaction	BCL2	1	hsa04915	hsa04915
ESR1	interaction	EBAG9	1	hsa04915	hsa04915
ESR2	interaction	EBAG9	1	hsa04915	hsa04915
NCOA2	interaction	EBAG9	1	hsa04915	hsa04915
NCOA3	interaction	EBAG9	1	hsa04915	hsa04915
NCOA1	interaction	EBAG9	1	hsa04915	hsa04915
ESR1	interaction	LOC100653049	1	hsa04915	hsa04915
ESR1	interaction	KRT40	1	hsa04915	hsa04915
ESR1	interaction	KRT25	1	hsa04915	hsa04915
ESR1	interaction	KRT28	1	hsa04915	hsa04915
ESR1	interaction	KRT24	1	hsa04915	hsa04915
ESR1	interaction	KRT23	1	hsa04915	hsa04915
ESR1	interaction	KRT27	1	hsa04915	hsa04915
ESR1	interaction	KRT26	1	hsa04915	hsa04915
ESR1	interaction	KRT9	1	hsa04915	hsa04915
ESR1	interaction	KRT10	1	hsa04915	hsa04915
ESR1	interaction	KRT12	1	hsa04915	hsa04915
ESR1	interaction	KRT13	1	hsa04915	hsa04915
ESR1	interaction	KRT14	1	hsa04915	hsa04915
ESR1	interaction	KRT15	1	hsa04915	hsa04915
ESR1	interaction	KRT16	1	hsa04915	hsa04915
ESR1	interaction	KRT17	1	hsa04915	hsa04915
ESR1	interaction	KRT18	1	hsa04915	hsa04915
ESR1	interaction	KRT19	1	hsa04915	hsa04915
ESR1	interaction	KRT31	1	hsa04915	hsa04915
ESR1	interaction	KRT32	1	hsa04915	hsa04915
ESR1	interaction	KRT33A	1	hsa04915	hsa04915
ESR1	interaction	KRT33B	1	hsa04915	hsa04915
ESR1	interaction	KRT34	1	hsa04915	hsa04915
ESR1	interaction	KRT35	1	hsa04915	hsa04915
ESR1	interaction	KRT39	1	hsa04915	hsa04915
ESR1	interaction	KRT20	1	hsa04915	hsa04915
ESR1	interaction	KRT38	1	hsa04915	hsa04915
ESR1	interaction	KRT37	1	hsa04915	hsa04915
ESR1	interaction	KRT36	1	hsa04915	hsa04915
ESR2	interaction	LOC100653049	1	hsa04915	hsa04915
ESR2	interaction	KRT40	1	hsa04915	hsa04915
ESR2	interaction	KRT25	1	hsa04915	hsa04915
ESR2	interaction	KRT28	1	hsa04915	hsa04915
ESR2	interaction	KRT24	1	hsa04915	hsa04915
ESR2	interaction	KRT23	1	hsa04915	hsa04915
ESR2	interaction	KRT27	1	hsa04915	hsa04915
ESR2	interaction	KRT26	1	hsa04915	hsa04915
ESR2	interaction	KRT9	1	hsa04915	hsa04915
ESR2	interaction	KRT10	1	hsa04915	hsa04915
ESR2	interaction	KRT12	1	hsa04915	hsa04915
ESR2	interaction	KRT13	1	hsa04915	hsa04915
ESR2	interaction	KRT14	1	hsa04915	hsa04915
ESR2	interaction	KRT15	1	hsa04915	hsa04915
ESR2	interaction	KRT16	1	hsa04915	hsa04915
ESR2	interaction	KRT17	1	hsa04915	hsa04915
ESR2	interaction	KRT18	1	hsa04915	hsa04915
ESR2	interaction	KRT19	1	hsa04915	hsa04915
ESR2	interaction	KRT31	1	hsa04915	hsa04915
ESR2	interaction	KRT32	1	hsa04915	hsa04915
ESR2	interaction	KRT33A	1	hsa04915	hsa04915
ESR2	interaction	KRT33B	1	hsa04915	hsa04915
ESR2	interaction	KRT34	1	hsa04915	hsa04915
ESR2	interaction	KRT35	1	hsa04915	hsa04915
ESR2	interaction	KRT39	1	hsa04915	hsa04915
ESR2	interaction	KRT20	1	hsa04915	hsa04915
ESR2	interaction	KRT38	1	hsa04915	hsa04915
ESR2	interaction	KRT37	1	hsa04915	hsa04915
ESR2	interaction	KRT36	1	hsa04915	hsa04915
NCOA2	interaction	LOC100653049	1	hsa04915	hsa04915
NCOA2	interaction	KRT40	1	hsa04915	hsa04915
NCOA2	interaction	KRT25	1	hsa04915	hsa04915
NCOA2	interaction	KRT28	1	hsa04915	hsa04915
NCOA2	interaction	KRT24	1	hsa04915	hsa04915
NCOA2	interaction	KRT23	1	hsa04915	hsa04915
NCOA2	interaction	KRT27	1	hsa04915	hsa04915
NCOA2	interaction	KRT26	1	hsa04915	hsa04915
NCOA2	interaction	KRT9	1	hsa04915	hsa04915
NCOA2	interaction	KRT10	1	hsa04915	hsa04915
NCOA2	interaction	KRT12	1	hsa04915	hsa04915
NCOA2	interaction	KRT13	1	hsa04915	hsa04915
NCOA2	interaction	KRT14	1	hsa04915	hsa04915
NCOA2	interaction	KRT15	1	hsa04915	hsa04915
NCOA2	interaction	KRT16	1	hsa04915	hsa04915
NCOA2	interaction	KRT17	1	hsa04915	hsa04915
NCOA2	interaction	KRT18	1	hsa04915	hsa04915
NCOA2	interaction	KRT19	1	hsa04915	hsa04915
NCOA2	interaction	KRT31	1	hsa04915	hsa04915
NCOA2	interaction	KRT32	1	hsa04915	hsa04915
NCOA2	interaction	KRT33A	1	hsa04915	hsa04915
NCOA2	interaction	KRT33B	1	hsa04915	hsa04915
NCOA2	interaction	KRT34	1	hsa04915	hsa04915
NCOA2	interaction	KRT35	1	hsa04915	hsa04915
NCOA2	interaction	KRT39	1	hsa04915	hsa04915
NCOA2	interaction	KRT20	1	hsa04915	hsa04915
NCOA2	interaction	KRT38	1	hsa04915	hsa04915
NCOA2	interaction	KRT37	1	hsa04915	hsa04915
NCOA2	interaction	KRT36	1	hsa04915	hsa04915
NCOA3	interaction	LOC100653049	1	hsa04915	hsa04915
NCOA1	interaction	LOC100653049	1	hsa04915	hsa04915
NCOA3	interaction	KRT40	1	hsa04915	hsa04915
NCOA3	interaction	KRT25	1	hsa04915	hsa04915
NCOA3	interaction	KRT28	1	hsa04915	hsa04915
NCOA3	interaction	KRT24	1	hsa04915	hsa04915
NCOA3	interaction	KRT23	1	hsa04915	hsa04915
NCOA3	interaction	KRT27	1	hsa04915	hsa04915
NCOA3	interaction	KRT26	1	hsa04915	hsa04915
NCOA3	interaction	KRT9	1	hsa04915	hsa04915
NCOA3	interaction	KRT10	1	hsa04915	hsa04915
NCOA3	interaction	KRT12	1	hsa04915	hsa04915
NCOA3	interaction	KRT13	1	hsa04915	hsa04915
NCOA3	interaction	KRT14	1	hsa04915	hsa04915
NCOA3	interaction	KRT15	1	hsa04915	hsa04915
NCOA3	interaction	KRT16	1	hsa04915	hsa04915
NCOA3	interaction	KRT17	1	hsa04915	hsa04915
NCOA3	interaction	KRT18	1	hsa04915	hsa04915
NCOA3	interaction	KRT19	1	hsa04915	hsa04915
NCOA3	interaction	KRT31	1	hsa04915	hsa04915
NCOA3	interaction	KRT32	1	hsa04915	hsa04915
NCOA3	interaction	KRT33A	1	hsa04915	hsa04915
NCOA3	interaction	KRT33B	1	hsa04915	hsa04915
NCOA3	interaction	KRT34	1	hsa04915	hsa04915
NCOA3	interaction	KRT35	1	hsa04915	hsa04915
NCOA3	interaction	KRT39	1	hsa04915	hsa04915
NCOA3	interaction	KRT20	1	hsa04915	hsa04915
NCOA3	interaction	KRT38	1	hsa04915	hsa04915
NCOA3	interaction	KRT37	1	hsa04915	hsa04915
NCOA3	interaction	KRT36	1	hsa04915	hsa04915
NCOA1	interaction	KRT40	1	hsa04915	hsa04915
NCOA1	interaction	KRT25	1	hsa04915	hsa04915
NCOA1	interaction	KRT28	1	hsa04915	hsa04915
NCOA1	interaction	KRT24	1	hsa04915	hsa04915
NCOA1	interaction	KRT23	1	hsa04915	hsa04915
NCOA1	interaction	KRT27	1	hsa04915	hsa04915
NCOA1	interaction	KRT26	1	hsa04915	hsa04915
NCOA1	interaction	KRT9	1	hsa04915	hsa04915
NCOA1	interaction	KRT10	1	hsa04915	hsa04915
NCOA1	interaction	KRT12	1	hsa04915	hsa04915
NCOA1	interaction	KRT13	1	hsa04915	hsa04915
NCOA1	interaction	KRT14	1	hsa04915	hsa04915
NCOA1	interaction	KRT15	1	hsa04915	hsa04915
NCOA1	interaction	KRT16	1	hsa04915	hsa04915
NCOA1	interaction	KRT17	1	hsa04915	hsa04915
NCOA1	interaction	KRT18	1	hsa04915	hsa04915
NCOA1	interaction	KRT19	1	hsa04915	hsa04915
NCOA1	interaction	KRT31	1	hsa04915	hsa04915
NCOA1	interaction	KRT32	1	hsa04915	hsa04915
NCOA1	interaction	KRT33A	1	hsa04915	hsa04915
NCOA1	interaction	KRT33B	1	hsa04915	hsa04915
NCOA1	interaction	KRT34	1	hsa04915	hsa04915
NCOA1	interaction	KRT35	1	hsa04915	hsa04915
NCOA1	interaction	KRT39	1	hsa04915	hsa04915
NCOA1	interaction	KRT20	1	hsa04915	hsa04915
NCOA1	interaction	KRT38	1	hsa04915	hsa04915
NCOA1	interaction	KRT37	1	hsa04915	hsa04915
NCOA1	interaction	KRT36	1	hsa04915	hsa04915
ESR1	interaction	CTSD	1	hsa04915	hsa04915
ESR2	interaction	CTSD	1	hsa04915	hsa04915
NCOA2	interaction	CTSD	1	hsa04915	hsa04915
NCOA3	interaction	CTSD	1	hsa04915	hsa04915
NCOA1	interaction	CTSD	1	hsa04915	hsa04915
ESR1	interaction	TFF1	1	hsa04915	hsa04915
ESR2	interaction	TFF1	1	hsa04915	hsa04915
NCOA2	interaction	TFF1	1	hsa04915	hsa04915
NCOA3	interaction	TFF1	1	hsa04915	hsa04915
NCOA1	interaction	TFF1	1	hsa04915	hsa04915
ESR1	interaction	PGR	1	hsa04915	hsa04915
ESR2	interaction	PGR	1	hsa04915	hsa04915
NCOA2	interaction	PGR	1	hsa04915	hsa04915
NCOA3	interaction	PGR	1	hsa04915	hsa04915
NCOA1	interaction	PGR	1	hsa04915	hsa04915
ESR1	interaction	TGFA	1	hsa04915	hsa04915
ESR2	interaction	TGFA	1	hsa04915	hsa04915
NCOA2	interaction	TGFA	1	hsa04915	hsa04915
NCOA3	interaction	TGFA	1	hsa04915	hsa04915
NCOA1	interaction	TGFA	1	hsa04915	hsa04915
ESR1	interaction	RARA	1	hsa04915	hsa04915
ESR2	interaction	RARA	1	hsa04915	hsa04915
NCOA2	interaction	RARA	1	hsa04915	hsa04915
NCOA3	interaction	RARA	1	hsa04915	hsa04915
NCOA1	interaction	RARA	1	hsa04915	hsa04915
