"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","COMUNIDADES","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"72","5.61946903","0.00119077","0.17795276","0.0","36","18","22","false","C00084","21.22222222","18","0","0","0.85564159","false","0","C00084","77652608","0.29307568"
"73","4.87073843","0.00221979","0.20530768","0.0","61","25","21","false","ALDH2","11.6","25","0","0","0.87903942","false","0","ALDH2","107122956","0.0848"
"75","4.87073843","0.00221979","0.20530768","0.0","61","25","21","false","ALDH1B1","11.6","25","0","0","0.87903942","false","0","ALDH1B1","107122956","0.0848"
"77","4.87073843","0.00221979","0.20530768","0.0","61","25","21","false","ALDH9A1","11.6","25","0","0","0.87903942","false","0","ALDH9A1","107122956","0.0848"
"79","4.87073843","0.00221979","0.20530768","0.0","61","25","21","false","ALDH3A2","11.6","25","0","0","0.87903942","false","0","ALDH3A2","107122956","0.0848"
"81","4.85724648","0.00815773","0.20587796","0.0","61","29","21","false","ALDH7A1","10.31034483","29","0","0","0.87946105","false","0","ALDH7A1","153576076","0.07161804"
"83","6.07834035","7.408E-4","0.16451859","0.0","52","24","22","false","ALDH3A1","9.125","24","0","0","0.84130186","false","0","ALDH3A1","217449752","0.13771186"
"85","6.07834035","7.408E-4","0.16451859","0.0","52","24","22","false","ALDH1A3","9.125","24","0","0","0.84130186","false","0","ALDH1A3","217449752","0.13771186"
"87","6.07834035","7.408E-4","0.16451859","0.0","52","24","22","false","ALDH3B1","9.125","24","0","0","0.84130186","false","0","ALDH3B1","217449752","0.13771186"
"89","6.07834035","7.408E-4","0.16451859","0.0","52","24","22","false","ALDH3B2","9.125","24","0","0","0.84130186","false","0","ALDH3B2","217449752","0.13771186"
"91","5.30248078","0.00259334","0.18859097","0.0","36","6","21","false","AKR1A1","13.16666667","6","0","0","0.86554748","false","0","AKR1A1","31548648","0.20621469"
"93","5.20977804","6.8414E-4","0.19194676","0.02857143","36","21","22","false","ADH1A","16.9047619","21","0","0","0.86844444","false","0","ADH1A","43120614","0.1537415"
"95","5.20977804","6.8414E-4","0.19194676","0.02857143","36","21","22","false","ADH1B","16.9047619","21","0","0","0.86844444","false","0","ADH1B","43120614","0.1537415"
"97","5.20977804","6.8414E-4","0.19194676","0.02857143","36","21","22","false","ADH1C","16.9047619","21","0","0","0.86844444","false","0","ADH1C","43120614","0.1537415"
"99","5.20977804","6.8414E-4","0.19194676","0.02857143","36","21","22","false","ADH4","16.9047619","21","0","0","0.86844444","false","0","ADH4","43120614","0.1537415"
"101","5.2025243","0.0017453","0.19221438","0.02371542","36","23","22","false","ADH5","15.65217391","23","0","0","0.86867112","false","0","ADH5","53388394","0.1389679"
"103","5.20977804","6.8414E-4","0.19194676","0.02857143","36","21","22","false","ADH6","16.9047619","21","0","0","0.86844444","false","0","ADH6","43120614","0.1537415"
"105","5.20977804","6.8414E-4","0.19194676","0.02857143","36","21","22","false","ADH7","16.9047619","21","0","0","0.86844444","false","0","ADH7","43120614","0.1537415"
"107","5.83795155","5.437E-5","0.17129296","0.0","114","2","22","false","ETNPPL","12.0","2","0","0","0.84881401","false","0","ETNPPL","487338","0.5"
"109","5.74597418","0.00158471","0.17403489","0.0","61","14","22","false","C00033","17.35714286","14","0","0","0.85168831","false","0","C00033","85370502","0.30291005"
"111","5.82997244","5.1481E-4","0.1715274","0.0","61","7","22","false","C00258","19.57142857","7","0","0","0.84906336","false","0","C00258","13176702","0.54621849"
"113","5.05498332","0.00273674","0.19782459","0.0","61","12","20","false","C00577","17.0","12","0","0","0.87328177","false","0","C00577","46184924","0.28070175"
"115","5.85594081","2.2E-7","0.17076675","0.0","61","5","22","false","C02670","25.8","5","0","0","0.84825185","false","0","C02670","324","0.88571429"
"117","5.85594081","2.2E-7","0.17076675","0.0","61","5","22","false","C00818","25.8","5","0","0","0.84825185","false","0","C00818","324","0.88571429"
"119","4.18584071","0.01186735","0.23890063","0.01505376","59","31","20","false","C00162","18.29032258","31","0","0","0.90044248","false","0","C00162","119585674","0.05899545"
"121","5.68649354","3.2258E-4","0.1758553","0.0","36","12","22","false","C00071","23.16666667","12","0","0","0.85354708","false","0","C00071","15266318","0.45238095"
"123","5.63136515","0.00294868","0.17757683","0.0","61","17","22","false","C00099","16.35294118","17","0","0","0.85526984","false","0","C00099","209495000","0.22250639"
"125","4.65907442","0.01491287","0.21463491","0.0","12","56","21","false","C00334","20.60714286","56","0","0","0.88565392","false","0","C00334","1354880250","0.12409584"
"127","5.02321195","0.00154733","0.19907581","0.0","23","13","21","false","C06002","21.69230769","13","0","0","0.87427463","false","0","C06002","31834948","0.20901321"
"129","5.02321195","0.00154733","0.19907581","0.0","23","13","21","false","C00349","21.69230769","13","0","0","0.87427463","false","0","C00349","31834948","0.20901321"
"131","5.28013927","0.00109923","0.18938894","0.0","61","7","21","false","C02170","22.28571429","7","0","0","0.86624565","false","0","C02170","13262462","0.43440233"
"133","5.85536051","5.8043E-4","0.17078368","0.0","61","6","22","false","C01181","21.83333333","6","0","0","0.84826998","false","0","C01181","23221724","0.7183908"
"135","5.85594081","2.2E-7","0.17076675","0.0","61","5","22","false","C01149","25.8","5","0","0","0.84825185","false","0","C01149","324","0.88571429"
"137","5.7871754","7.179E-5","0.17279587","0.0","61","6","22","false","C00555","22.66666667","6","0","0","0.85040077","false","0","C00555","924232","0.67708333"
"139","5.71130132","1.5288E-4","0.17509144","0.0","61","7","22","false","C05936","27.85714286","7","0","0","0.85277183","false","0","C05936","4143410","0.46305419"
"141","5.85594081","2.2E-7","0.17076675","0.0","61","5","22","false","C02946","25.8","5","0","0","0.84825185","false","0","C02946","324","0.88571429"
"143","5.7871754","7.179E-5","0.17279587","0.0","61","6","22","false","C05130","22.66666667","6","0","0","0.85040077","false","0","C05130","924232","0.67708333"
"145","5.85594081","2.2E-7","0.17076675","0.0","61","5","22","false","C02835","25.8","5","0","0","0.84825185","false","0","C02835","324","0.88571429"
"147","5.27868852","5.4346E-4","0.18944099","0.0","61","7","21","false","C05635","22.57142857","7","0","0","0.86629098","false","0","C05635","7063078","0.42296919"
"149","5.22152909","5.0594E-4","0.19151478","0.0","61","8","21","false","C05634","27.5","8","0","0","0.86807722","false","0","C05634","11324588","0.34415584"
"151","5.70448281","2.4088E-4","0.17530073","0.0","61","8","22","false","C00637","25.25","8","0","0","0.85298491","false","0","C00637","5714922","0.40416667"
