"SUID","ALL-PATH-LIST","EdgeBetweenness","interaction","name","NPATHWAYS","PATHWAY","selected","shared interaction","shared name"
"262132","hsa00440","6086.70552134","interaction","C05674 (interaction) CEPT1","1","hsa00440","false","interaction","C05674 (interaction) CEPT1"
"262134","hsa00440","886.6961661","interaction","C05674 (interaction) SELENOI","1","hsa00440","false","interaction","C05674 (interaction) SELENOI"
"262127","hsa00440","1247.0","interaction","C06459 (interaction) PCYT1B","1","hsa00440","false","interaction","C06459 (interaction) PCYT1B"
"262129","hsa00440","3338.20084372","interaction","PCYT1A (interaction) C05674","1","hsa00440","false","interaction","PCYT1A (interaction) C05674"
"262130","hsa00440","3338.20084372","interaction","PCYT1B (interaction) C05674","1","hsa00440","false","interaction","PCYT1B (interaction) C05674"
"262139","hsa00440","1324.3038339","interaction","C05673 (interaction) SELENOI","1","hsa00440","false","interaction","C05673 (interaction) SELENOI"
"262141","hsa00440","2190.0","interaction","CEPT1 (interaction) C05675","1","hsa00440","false","interaction","CEPT1 (interaction) C05675"
"262142","hsa00440","8.0","interaction","SELENOI (interaction) C05675","1","hsa00440","false","interaction","SELENOI (interaction) C05675"
"262136","hsa00440","2190.0","interaction","CEPT1 (interaction) C05676","1","hsa00440","false","interaction","CEPT1 (interaction) C05676"
"262137","hsa00440","8.0","interaction","SELENOI (interaction) C05676","1","hsa00440","false","interaction","SELENOI (interaction) C05676"
"262138","hsa00440","4775.48311936","interaction","C05673 (interaction) CEPT1","1","hsa00440","false","interaction","C05673 (interaction) CEPT1"
"262147","hsa00450","3.33333333","interaction","C05684 (interaction) TXNRD3","1","hsa00450","false","interaction","C05684 (interaction) TXNRD3"
"262149","hsa00450","3.33333333","interaction","C05684 (interaction) TXNRD1","1","hsa00450","false","interaction","C05684 (interaction) TXNRD1"
"262145","hsa00450","3.33333333","interaction","C05684 (interaction) TXNRD2","1","hsa00450","false","interaction","C05684 (interaction) TXNRD2"
"262155","hsa00450","20.0","interaction","C01528 (interaction) SEPHS2","1","hsa00450","false","interaction","C01528 (interaction) SEPHS2"
"262157","hsa00450","20.0","interaction","C01528 (interaction) SEPHS1","1","hsa00450","false","interaction","C01528 (interaction) SEPHS1"
"262151","hsa00450","10.0","interaction","TXNRD2 (interaction) C01528","1","hsa00450","false","interaction","TXNRD2 (interaction) C01528"
"262152","hsa00450","10.0","interaction","TXNRD3 (interaction) C01528","1","hsa00450","false","interaction","TXNRD3 (interaction) C01528"
"262153","hsa00450","10.0","interaction","TXNRD1 (interaction) C01528","1","hsa00450","false","interaction","TXNRD1 (interaction) C01528"
"262163","hsa00450","2499.0","interaction","C05688 (interaction) SCLY","1","hsa00450","false","interaction","C05688 (interaction) SCLY"
"262164","hsa00450","12.0","interaction","SCLY (interaction) C01528","1","hsa00450","false","interaction","SCLY (interaction) C01528"
"262165","hsa00450","4984.0","interaction","SCLY (interaction) C00041","1","hsa00450","false","interaction","SCLY (interaction) C00041"
