"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"262131","10.86562375","0.01275553","0.09203337","0.0","39","18","9","false","CEPT1","13.25","9","2","false","0","CEPT1","63004711008"
"258033","0.0","0.0","0.0","0.0","0","2","2","false","C05478","16.0","0","0","false","0","C05478","0"
"266229","11.21322645","0.0","0.0891804","0.0","42","1","0","false","C02094","2.0","1","0","false","0","C02094","0"
"262133","1.0","1.71E-6","1.0","0.0","1","4","2","false","SELENOI","2.75","2","0","false","0","SELENOI","168"
"266230","10.21732157","3.048E-4","0.09787301","0.0","41","2","1","false","BCO1","11.0","1","0","false","0","BCO1","8213700"
"258031","11.79631115","0.0","0.08477226","0.0","42","1","0","false","C05477","22.0","1","0","false","0","C05477","0"
"266224","10.39229844","0.00107012","0.0962251","0.0","41","4","2","false","ALDH1A2","17.75","2","0","false","0","ALDH1A2","374478496"
"262128","11.85800241","5.4756E-4","0.08433124","0.0","40","4","2","false","C05674","7.0","2","0","false","0","C05674","1717092346"
"266226","9.39671079","0.02077507","0.10642022","0.0","40","36","3","false","C00777","24.555555555555557","33","0","false","0","C00777","2230101158"
"258035","13.26032892","3.0254E-4","0.07541291","0.0","46","2","1","false","C05476","16.0","1","0","false","0","C05476","107464433"
"266235","12.1091055","0.00124301","0.08258248","0.0","43","5","2","false","LRAT","7.4","3","0","false","0","LRAT","73654670"
"262140","0.0","0.0","0.0","0.0","0","2","2","false","C05675","10.0","0","0","false","0","C05675","0"
"258040","12.75170477","1.0092E-4","0.07842089","0.0","44","4","3","false","C05498","12.5","1","0","false","0","C05498","57243626"
"266237","11.11351785","4.2017E-4","0.08998051","0.0","42","3","1","false","C02075","3.6666666666666665","2","0","false","0","C02075","29538650"
"258046","11.79863618","0.00130177","0.08475556","0.0","42","2","1","false","C05479","19.0","1","0","false","0","C05479","1579166799"
"262135","0.0","0.0","0.0","0.0","0","2","2","false","C05676","10.0","0","0","false","0","C05676","0"
"262148","2.57142857","5.7E-7","0.38888889","0.0","5","4","2","false","TXNRD1","4.5","2","0","false","0","TXNRD1","20"
"266245","9.9791416","0.00405041","0.10020902","0.0","41","12","6","false","RDH11","11.833333333333334","6","6","false","0","RDH11","347944763"
"262150","2.2","4.28E-6","0.45454545","0.0","4","6","4","false","C01528","3.1666666666666665","2","0","false","0","C01528","88"
"262143","2.8","0.0","0.35714286","0.0","6","3","0","false","C05684","4.0","3","0","false","0","C05684","0"
"266239","11.11351785","4.2017E-4","0.08998051","0.0","42","3","1","false","C02588","3.6666666666666665","2","0","false","0","C02588","29538650"
"262144","2.57142857","5.7E-7","0.38888889","0.0","5","4","2","false","TXNRD2","4.5","2","0","false","0","TXNRD2","20"
"266241","10.97713598","2.4727E-4","0.09109844","0.0","42","6","3","false","C02110","4.666666666666667","3","3","false","0","C02110","70508572"
"266242","11.54191737","1.88E-5","0.08664072","0.0","41","4","2","false","RDH10","5.0","2","2","false","0","RDH10","585614"
"258051","9.87966306","8.5941E-4","0.10121803","0.0","40","6","3","false","C03681","9.666666666666666","3","0","false","0","C03681","286103667"
"262146","2.57142857","5.7E-7","0.38888889","0.0","5","4","2","false","TXNRD3","4.5","2","0","false","0","TXNRD3","20"
"266251","10.54312074","0.0070769","0.09484858","0.0","40","10","4","false","C00899","4.142857142857143","6","3","false","0","C00899","368813037"
"262156","2.0","1.47E-6","0.5","0.0","3","2","1","false","SEPHS1","4.5","1","0","false","0","SEPHS1","36"
"258056","0.0","0.0","0.0","0.0","0","1","1","false","C05480","22.0","0","0","false","0","C05480","0"
"262158","1.5","2.44E-6","0.66666667","0.0","2","3","2","false","C05172","2.3333333333333335","1","0","false","0","C05172","52"
"266248","9.9791416","0.00405041","0.10020902","0.0","41","12","6","false","RDH5","11.833333333333334","6","6","false","0","RDH5","347944763"
"258060","11.51143201","8.0448E-4","0.08687017","0.0","42","3","2","false","C13712","11.333333333333334","1","0","false","0","C13712","167236017"
"262154","2.0","1.47E-6","0.5","0.0","3","2","1","false","SEPHS2","4.5","1","0","false","0","SEPHS2","36"
"266260","0.0","0.0","0.0","0.0","0","1","1","false","C15492","2.0","0","0","false","0","C15492","0"
"258064","0.0","0.0","0.0","0.0","0","3","3","false","C18042","11.333333333333334","0","0","false","0","C18042","0"
"266262","11.54191737","1.7566E-4","0.08664072","0.0","41","3","2","false","RPE65","4.333333333333333","1","0","false","0","RPE65","2372378"
"262166","9.90854392","7.619E-4","0.100923","0.0","42","4","1","false","C05335","5.75","3","0","false","0","C05335","78371646"
"262161","10.1292517","0.0","0.09872398","0.0","42","1","0","false","C05688","3.0","1","0","false","0","C05688","0"
"258067","9.95427196","8.645E-4","0.10045938","0.0","40","3","1","false","C18041","11.333333333333334","2","0","false","0","C18041","18802049"
"266258","1.0","2.685E-4","1.0","0.0","1","2","1","false","RETSAT","11.0","1","0","false","0","RETSAT","11222405"
"262162","9.13290633","3.0529E-4","0.10949417","0.0","41","3","1","false","SCLY","5.333333333333333","2","0","false","0","SCLY","2820692"
"262171","0.0","0.0","0.0","0.0","0","2","2","false","C05336","4.0","0","0","false","0","C05336","0"
"266267","10.21018853","1.1826E-4","0.09794138","0.0","41","8","4","false","RDH12","15.25","4","4","false","0","RDH12","61577663"
"262167","12.05294826","6.5831E-4","0.08296725","0.0","47","4","2","false","MARS","4.75","2","0","false","0","MARS","1073836591"
"258077","11.1143201","4.5367E-4","0.08997401","0.0","42","4","3","false","C05497","12.5","1","0","false","0","C05497","67972290"
"262169","12.05294826","6.5831E-4","0.08296725","0.0","47","4","2","false","MARS2","4.75","2","0","false","0","MARS2","1073836591"
"266266","10.97312475","4.498E-5","0.09113174","0.0","42","16","8","false","C16682","4.5","8","8","false","0","C16682","2786228"
"262182","0.0","0.0","0.0","0.0","0","2","2","false","C18904","15.0","0","0","false","0","C18904","0"
"262175","0.0","0.0","0.0","0.0","0","6","6","false","C05703","8.5","0","0","false","0","C05703","0"
"258085","9.95266747","7.055E-4","0.10047558","0.0","41","14","7","false","HSD17B1","22.25","7","6","false","0","HSD17B1","201948727"
"262177","9.87570168","0.0","0.10125863","0.0","42","3","0","false","C05689","13.0","3","0","false","0","C05689","0"
"258084","10.2045728","0.00170625","0.09799528","0.0","42","9","2","false","C05284","10.666666666666666","7","0","false","0","C05284","451625182"
"266274","10.28158845","3.6679E-4","0.09726124","0.0","42","19","8","false","C16681","5.636363636363637","11","8","false","0","C16681","37936654"
