NODEA	INTERACTION	NODEB	NPATHWAYS	PATHWAY	ALL-PATH-LIST
C00084	interaction	ALDH2	2	NA	hsa00010,hsa00620,
ALDH2	interaction	C00084	2	NA	hsa00010,hsa00620,
C00084	interaction	ALDH1B1	2	NA	hsa00010,hsa00620,
ALDH1B1	interaction	C00084	2	NA	hsa00010,hsa00620,
C00084	interaction	ALDH9A1	2	NA	hsa00010,hsa00620,
ALDH9A1	interaction	C00084	2	NA	hsa00010,hsa00620,
C00084	interaction	ALDH3A2	2	NA	hsa00010,hsa00620,
ALDH3A2	interaction	C00084	2	NA	hsa00010,hsa00620,
C00084	interaction	ALDH7A1	2	NA	hsa00010,hsa00620,
ALDH7A1	interaction	C00084	2	NA	hsa00010,hsa00620,
ALDH2	interaction	C00033	2	NA	hsa00010,hsa00620,
C00033	interaction	ALDH2	2	NA	hsa00010,hsa00620,
ALDH1B1	interaction	C00033	2	NA	hsa00010,hsa00620,
C00033	interaction	ALDH1B1	2	NA	hsa00010,hsa00620,
ALDH9A1	interaction	C00033	2	NA	hsa00010,hsa00620,
C00033	interaction	ALDH9A1	2	NA	hsa00010,hsa00620,
ALDH3A2	interaction	C00033	2	NA	hsa00010,hsa00620,
C00033	interaction	ALDH3A2	2	NA	hsa00010,hsa00620,
ALDH7A1	interaction	C00033	2	NA	hsa00010,hsa00620,
C00033	interaction	ALDH7A1	2	NA	hsa00010,hsa00620,
C00084	interaction	ALDH3A1	1	hsa00010	hsa00010
ALDH3A1	interaction	C00084	1	hsa00010	hsa00010
C00084	interaction	ALDH1A3	1	hsa00010	hsa00010
ALDH1A3	interaction	C00084	1	hsa00010	hsa00010
C00084	interaction	ALDH3B1	1	hsa00010	hsa00010
ALDH3B1	interaction	C00084	1	hsa00010	hsa00010
C00084	interaction	ALDH3B2	1	hsa00010	hsa00010
ALDH3B2	interaction	C00084	1	hsa00010	hsa00010
ALDH3A1	interaction	C00033	1	hsa00010	hsa00010
C00033	interaction	ALDH3A1	1	hsa00010	hsa00010
ALDH1A3	interaction	C00033	1	hsa00010	hsa00010
C00033	interaction	ALDH1A3	1	hsa00010	hsa00010
ALDH3B1	interaction	C00033	1	hsa00010	hsa00010
C00033	interaction	ALDH3B1	1	hsa00010	hsa00010
ALDH3B2	interaction	C00033	1	hsa00010	hsa00010
C00033	interaction	ALDH3B2	1	hsa00010	hsa00010
C00469	interaction	AKR1A1	1	hsa00010	hsa00010
AKR1A1	interaction	C00469	1	hsa00010	hsa00010
AKR1A1	interaction	C00084	1	hsa00010	hsa00010
C00084	interaction	AKR1A1	1	hsa00010	hsa00010
C00469	interaction	ADH1A	1	hsa00010	hsa00010
ADH1A	interaction	C00469	1	hsa00010	hsa00010
C00469	interaction	ADH1B	1	hsa00010	hsa00010
ADH1B	interaction	C00469	1	hsa00010	hsa00010
C00469	interaction	ADH1C	1	hsa00010	hsa00010
ADH1C	interaction	C00469	1	hsa00010	hsa00010
C00469	interaction	ADH4	1	hsa00010	hsa00010
ADH4	interaction	C00469	1	hsa00010	hsa00010
C00469	interaction	ADH5	1	hsa00010	hsa00010
ADH5	interaction	C00469	1	hsa00010	hsa00010
C00469	interaction	ADH6	1	hsa00010	hsa00010
ADH6	interaction	C00469	1	hsa00010	hsa00010
C00469	interaction	ADH7	1	hsa00010	hsa00010
ADH7	interaction	C00469	1	hsa00010	hsa00010
ADH1A	interaction	C00084	1	hsa00010	hsa00010
C00084	interaction	ADH1A	1	hsa00010	hsa00010
ADH1B	interaction	C00084	1	hsa00010	hsa00010
C00084	interaction	ADH1B	1	hsa00010	hsa00010
ADH1C	interaction	C00084	1	hsa00010	hsa00010
C00084	interaction	ADH1C	1	hsa00010	hsa00010
ADH4	interaction	C00084	1	hsa00010	hsa00010
C00084	interaction	ADH4	1	hsa00010	hsa00010
ADH5	interaction	C00084	1	hsa00010	hsa00010
C00084	interaction	ADH5	1	hsa00010	hsa00010
ADH6	interaction	C00084	1	hsa00010	hsa00010
C00084	interaction	ADH6	1	hsa00010	hsa00010
ADH7	interaction	C00084	1	hsa00010	hsa00010
C00084	interaction	ADH7	1	hsa00010	hsa00010
C00068	interaction	PDHA1	3	NA	hsa00010,hsa00020,hsa00620,
C00068	interaction	PDHA2	3	NA	hsa00010,hsa00020,hsa00620,
C00068	interaction	PDHB	3	NA	hsa00010,hsa00020,hsa00620,
C00022	interaction	PDHA1	4	NA	hsa00010,hsa00020,hsa00620,hsa01200,
C00022	interaction	PDHA2	4	NA	hsa00010,hsa00020,hsa00620,hsa01200,
C00022	interaction	PDHB	4	NA	hsa00010,hsa00020,hsa00620,hsa01200,
PDHA1	interaction	C05125	3	NA	hsa00010,hsa00020,hsa00620,
PDHA2	interaction	C05125	3	NA	hsa00010,hsa00020,hsa00620,
PDHB	interaction	C05125	3	NA	hsa00010,hsa00020,hsa00620,
C05125	interaction	PDHA1	3	NA	hsa00010,hsa00020,hsa00620,
C05125	interaction	PDHA2	3	NA	hsa00010,hsa00020,hsa00620,
C05125	interaction	PDHB	3	NA	hsa00010,hsa00020,hsa00620,
C15972	interaction	PDHA1	3	NA	hsa00010,hsa00020,hsa00620,
C15972	interaction	PDHA2	3	NA	hsa00010,hsa00020,hsa00620,
C15972	interaction	PDHB	3	NA	hsa00010,hsa00020,hsa00620,
PDHA1	interaction	C16255	3	NA	hsa00010,hsa00020,hsa00620,
PDHA2	interaction	C16255	3	NA	hsa00010,hsa00020,hsa00620,
PDHB	interaction	C16255	3	NA	hsa00010,hsa00020,hsa00620,
PDHA1	interaction	C00068	3	NA	hsa00010,hsa00020,hsa00620,
PDHA2	interaction	C00068	3	NA	hsa00010,hsa00020,hsa00620,
PDHB	interaction	C00068	3	NA	hsa00010,hsa00020,hsa00620,
C00024	interaction	DLAT	3	NA	hsa00010,hsa00020,hsa00620,
DLAT	interaction	C00024	4	NA	hsa00010,hsa00020,hsa00620,hsa01200,
