"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"180209","3.84674121","0.0","0.2599603","0.0","1","10","false","MIR92","105.0","1","0","0","0.79666134","false","0","MIR92","0","0.0"
"180207","3.84674121","0.0","0.2599603","0.0","1","10","false","MIR91","105.0","1","0","0","0.79666134","false","0","MIR91","0","0.0"
"180213","3.8464685","0.0","0.25997873","1.0","2","10","false","KLF2","103.0","2","0","0","0.79668082","false","0","KLF2","0","0.98095238"
"180211","3.84674121","0.0","0.2599603","0.0","1","10","false","MIR93","105.0","1","0","0","0.79666134","false","0","MIR93","0","0.0"
"204850","5.66593946","1.0896E-4","0.17649324","0.0","2","11","false","LIN54","6.5","2","0","0","0.66671861","false","0","LIN54","1767760","0.78571429"
"204854","5.66593946","1.0896E-4","0.17649324","0.0","2","11","false","LIN37","6.5","2","0","0","0.66671861","false","0","LIN37","1767760","0.78571429"
"204852","5.66593946","1.0896E-4","0.17649324","0.0","2","11","false","LIN9","6.5","2","0","0","0.66671861","false","0","LIN9","1767760","0.78571429"
"204858","5.66593946","1.0896E-4","0.17649324","0.0","2","11","false","LIN52","6.5","2","0","0","0.66671861","false","0","LIN52","1767760","0.78571429"
"204856","5.66593946","1.0896E-4","0.17649324","0.0","2","11","false","RBBP4","6.5","2","0","0","0.66671861","false","0","RBBP4","1767760","0.78571429"
"204860","6.66348514","7.4E-7","0.15007162","0.0","5","12","false","FOXM1","2.0","5","0","0","0.59546535","false","0","FOXM1","20","1.0"
"204877","4.73956913","2.7314E-4","0.21098964","0.33333333","4","11","false","MYH6","10.0","4","0","0","0.73288792","false","0","MYH6","2701918","0.34821429"
"204879","4.73956913","2.7314E-4","0.21098964","0.33333333","4","11","false","MYH7","10.0","4","0","0","0.73288792","false","0","MYH7","2701918","0.34821429"
"204886","5.73875102","4.0E-8","0.17425394","0.0","2","12","false","MYBPC3","4.0","2","0","0","0.66151778","false","0","MYBPC3","2","1.0"
"180314","3.58876466","2.394E-4","0.27864742","0.22134387","23","9","false","IRAK4","39.60869565","23","0","0","0.81508824","false","0","IRAK4","536464","0.13115462"
"180312","3.60839924","1.7718E-4","0.2771312","0.23684211","20","9","false","IRAK1","42.05","20","0","0","0.81368577","false","0","IRAK1","409352","0.145"
"180342","3.9007363","2.58E-6","0.25636186","0.66666667","3","10","false","IRAK3","70.33333333","3","0","0","0.79280455","false","0","IRAK3","17652","0.39074074"
"204917","5.32042542","2.2E-7","0.18795489","0.0","4","11","false","CALCB","4.0","4","0","0","0.69139818","false","0","CALCB","12","1.0"
"204915","5.32042542","2.2E-7","0.18795489","0.0","4","11","false","CALCA","4.0","4","0","0","0.69139818","false","0","CALCA","12","1.0"
"180344","3.88055631","2.58E-6","0.25769501","0.83333333","4","10","false","IRAK2","58.5","4","0","0","0.79424598","false","0","IRAK2","17652","0.30952381"
"204919","5.32042542","2.2E-7","0.18795489","0.0","4","11","false","ADM","4.0","4","0","0","0.69139818","false","0","ADM","12","1.0"
"180349","4.23643305","1.378E-5","0.23604763","0.0","2","10","false","MIR199A2","33.5","2","0","0","0.76882621","false","0","MIR199A2","10456","0.5078125"
