NODEA	INTERACTION	NODEB	NPATHWAYS	PATHWAY	ALL-PATH-LIST
DPM1	interaction	DPM3	1	hsa00510	hsa00510
DPM1	interaction	DPM2	1	hsa00510	hsa00510
DPM3	interaction	DPM2	1	hsa00510	hsa00510
DAD1	interaction	STT3B	1	hsa00510	hsa00510
DAD1	interaction	STT3A	1	hsa00510	hsa00510
STT3B	interaction	DDOST	1	hsa00510	hsa00510
STT3B	interaction	RPN1	1	hsa00510	hsa00510
STT3B	interaction	RPN2	1	hsa00510	hsa00510
STT3B	interaction	TUSC3	1	hsa00510	hsa00510
STT3A	interaction	DDOST	1	hsa00510	hsa00510
STT3A	interaction	RPN1	1	hsa00510	hsa00510
STT3A	interaction	RPN2	1	hsa00510	hsa00510
STT3A	interaction	TUSC3	1	hsa00510	hsa00510
ALG14	interaction	ALG13	1	hsa00510	hsa00510
ERBB2	interaction	EGFR	2	NA	hsa05212,hsa01521,
ERBB2	interaction	ERBB3	2	NA	hsa04012,hsa01521,
ERBB2	interaction	EGF	8	NA	hsa04510,hsa04010,hsa04151,hsa05215,hsa04066,hsa01521,hsa05223,hsa05219,
ERBB2	interaction	TGFA	5	NA	hsa04010,hsa04151,hsa05215,hsa01521,hsa05223,
ERBB2	interaction	NRG1	1	hsa01521	hsa01521
ERBB2	interaction	NRG2	1	hsa01521	hsa01521
ERBB2	interaction	HGF	3	NA	hsa04510,hsa04010,hsa04151,
ERBB2	interaction	IGF1	5	NA	hsa04510,hsa04010,hsa04151,hsa05215,hsa04066,
ERBB2	interaction	VEGFA	3	NA	hsa04510,hsa04010,hsa04151,
ERBB2	interaction	PDGFA	4	NA	hsa04510,hsa04010,hsa04151,hsa05215,
ERBB2	interaction	PDGFB	4	NA	hsa04510,hsa04010,hsa04151,hsa05215,
ERBB2	interaction	PDGFC	4	NA	hsa04510,hsa04010,hsa04151,hsa05215,
ERBB2	interaction	PDGFD	4	NA	hsa04510,hsa04010,hsa04151,hsa05215,
ERBB2	interaction	FGF2	2	NA	hsa04010,hsa04151,
ERBB2	interaction	JAK1	3	NA	hsa05212,hsa05200,hsa01521,
ERBB2	interaction	JAK2	2	NA	hsa05200,hsa01521,
ERBB2	interaction	SRC	1	hsa01521	hsa01521
ERBB2	interaction	GAB1	1	hsa01521	hsa01521
ERBB2	interaction	PLCG1	3	NA	hsa04020,hsa01521,hsa05223,
ERBB2	interaction	PLCG2	3	NA	hsa04020,hsa01521,hsa05223,
ERBB2	interaction	SHC2	5	NA	hsa04510,hsa04012,hsa01521,hsa01522,hsa05224,
ERBB2	interaction	SHC4	5	NA	hsa04510,hsa04012,hsa01521,hsa01522,hsa05224,
ERBB2	interaction	SHC3	5	NA	hsa04510,hsa04012,hsa01521,hsa01522,hsa05224,
ERBB2	interaction	SHC1	5	NA	hsa04510,hsa04012,hsa01521,hsa01522,hsa05224,
ERBB2	interaction	PIK3CA	11	NA	hsa04510,hsa05212,hsa05200,hsa05215,hsa04012,hsa05230,hsa04066,hsa01524,hsa05223,hsa01522,hsa05224,
ERBB2	interaction	PIK3CB	11	NA	hsa04510,hsa05212,hsa05200,hsa05215,hsa04012,hsa05230,hsa04066,hsa01524,hsa05223,hsa01522,hsa05224,
ERBB2	interaction	PIK3CD	11	NA	hsa04510,hsa05212,hsa05200,hsa05215,hsa04012,hsa05230,hsa04066,hsa01524,hsa05223,hsa01522,hsa05224,
ERBB2	interaction	PIK3R1	11	NA	hsa04510,hsa05212,hsa05200,hsa05215,hsa04012,hsa05230,hsa04066,hsa01524,hsa05223,hsa01522,hsa05224,
ERBB2	interaction	PIK3R2	11	NA	hsa04510,hsa05212,hsa05200,hsa05215,hsa04012,hsa05230,hsa04066,hsa01524,hsa05223,hsa01522,hsa05224,
ERBB2	interaction	PIK3R3	11	NA	hsa04510,hsa05212,hsa05200,hsa05215,hsa04012,hsa05230,hsa04066,hsa01524,hsa05223,hsa01522,hsa05224,
ERBB2	interaction	GRB2	6	NA	hsa04010,hsa04151,hsa05215,hsa04012,hsa05205,hsa05223,
ERBB2	interaction	HRAS	1	hsa05230	hsa05230
ERBB2	interaction	KRAS	1	hsa05230	hsa05230
ERBB2	interaction	NRAS	1	hsa05230	hsa05230
ERBB2	interaction	MAP2K1	1	hsa04066	hsa04066
ERBB2	interaction	MAP2K2	1	hsa04066	hsa04066
ERBB2	interaction	MAPK1	2	NA	hsa04520,hsa01524,
ERBB2	interaction	MAPK3	2	NA	hsa04520,hsa01524,
ERBB2	interaction	PTK2	1	hsa04510	hsa04510
ERBB2	interaction	ERBB4	1	hsa04012	hsa04012
ERBB2	interaction	CSF1	2	NA	hsa04010,hsa04151,
ERBB2	interaction	EFNA1	2	NA	hsa04010,hsa04151,
ERBB2	interaction	EFNA2	2	NA	hsa04010,hsa04151,
ERBB2	interaction	EFNA3	2	NA	hsa04010,hsa04151,
ERBB2	interaction	EFNA4	2	NA	hsa04010,hsa04151,
ERBB2	interaction	EFNA5	2	NA	hsa04010,hsa04151,
ERBB2	interaction	EREG	2	NA	hsa04010,hsa04151,
ERBB2	interaction	FGF1	2	NA	hsa04010,hsa04151,
ERBB2	interaction	FGF3	2	NA	hsa04010,hsa04151,
ERBB2	interaction	FGF4	2	NA	hsa04010,hsa04151,
ERBB2	interaction	FGF5	2	NA	hsa04010,hsa04151,
ERBB2	interaction	FGF6	2	NA	hsa04010,hsa04151,
ERBB2	interaction	FGF7	2	NA	hsa04010,hsa04151,
ERBB2	interaction	FGF8	2	NA	hsa04010,hsa04151,
ERBB2	interaction	FGF9	2	NA	hsa04010,hsa04151,
ERBB2	interaction	FGF10	2	NA	hsa04010,hsa04151,
ERBB2	interaction	VEGFD	3	NA	hsa04510,hsa04010,hsa04151,
ERBB2	interaction	FLT3LG	2	NA	hsa04010,hsa04151,
ERBB2	interaction	FGF20	2	NA	hsa04010,hsa04151,
ERBB2	interaction	FGF21	2	NA	hsa04010,hsa04151,
ERBB2	interaction	FGF22	2	NA	hsa04010,hsa04151,
ERBB2	interaction	ANGPT1	2	NA	hsa04010,hsa04151,
ERBB2	interaction	ANGPT2	2	NA	hsa04010,hsa04151,
ERBB2	interaction	IGF2	2	NA	hsa04010,hsa04151,
ERBB2	interaction	INS	4	NA	hsa04010,hsa04151,hsa05215,hsa04066,
ERBB2	interaction	AREG	2	NA	hsa04010,hsa04151,
ERBB2	interaction	KITLG	2	NA	hsa04010,hsa04151,
ERBB2	interaction	NGF	2	NA	hsa04010,hsa04151,
ERBB2	interaction	NTF3	2	NA	hsa04010,hsa04151,
ERBB2	interaction	NTF4	2	NA	hsa04010,hsa04151,
ERBB2	interaction	ANGPT4	2	NA	hsa04010,hsa04151,
ERBB2	interaction	PGF	3	NA	hsa04510,hsa04010,hsa04151,
ERBB2	interaction	BDNF	2	NA	hsa04010,hsa04151,
ERBB2	interaction	VEGFB	3	NA	hsa04510,hsa04010,hsa04151,
ERBB2	interaction	VEGFC	3	NA	hsa04510,hsa04010,hsa04151,
ERBB2	interaction	FGF23	2	NA	hsa04010,hsa04151,
ERBB2	interaction	FGF18	2	NA	hsa04010,hsa04151,
ERBB2	interaction	FGF17	2	NA	hsa04010,hsa04151,
ERBB2	interaction	FGF16	2	NA	hsa04010,hsa04151,
ERBB2	interaction	FGF19	2	NA	hsa04010,hsa04151,
ERBB2	interaction	MYC	1	hsa05205	hsa05205
ERBB2	interaction	CTNNB1	2	NA	hsa05205,hsa04520,
ERBB2	interaction	CTNND1	1	hsa04520	hsa04520
ERBB2	interaction	IRS1	1	hsa04151	hsa04151
ERBB2	interaction	JAK3	1	hsa05200	hsa05200
ERBB2	interaction	HIF1A	1	hsa05205	hsa05205
ERBB2	interaction	DCN	1	hsa05205	hsa05205
ERBB2	interaction	CD44	1	hsa05205	hsa05205
ERBB2	interaction	MIR125A	1	hsa05206	hsa05206
ERBB2	interaction	MIR125B1	1	hsa05206	hsa05206
ERBB2	interaction	MIR125B2	1	hsa05206	hsa05206
ERBB2	interaction	MIR331	1	hsa05206	hsa05206
EGFR	interaction	ERBB3	1	hsa01521	hsa01521
EGFR	interaction	EGF	25	NA	hsa04510,hsa05200,hsa04540,hsa04630,hsa05218,hsa05223,hsa04151,hsa05213,hsa05214,hsa05160,hsa04810,hsa05224,hsa05212,hsa04010,hsa05231,hsa05215,hsa04015,hsa04066,hsa04068,hsa04072,hsa04012,hsa04014,hsa05210,hsa01521,hsa05219,
