"SUID","ALL-PATH-LIST","EdgeBetweenness","interaction","name","NPATHWAYS","PATHWAY","selected","shared interaction","shared name"
"246438","hsa01521,hsa04068,hsa04151,","1.0","interaction","FOXO3 (interaction) BCL2L11","3","NA","false","interaction","FOXO3 (interaction) BCL2L11"
"246441","hsa01523,hsa04064,hsa04620,hsa04622,hsa04660,hsa04931,hsa04932,hsa04933,hsa05140,hsa05145,hsa05152,hsa05160,hsa05161,hsa05164,hsa05168,hsa05169,hsa05321,hsa05418,","1.25","interaction","NFKB1 (interaction) TNF","18","NA","false","interaction","NFKB1 (interaction) TNF"
"246446","hsa01523,hsa04064,hsa04932,hsa04933,hsa05140,hsa05142,hsa05152,hsa05164,hsa05168,hsa05418,","1.33333333","interaction","RELA (interaction) IL1B","10","NA","false","interaction","RELA (interaction) IL1B"
"246445","hsa01523,hsa04064,hsa04620,hsa04932,hsa04933,hsa05140,hsa05142,hsa05152,hsa05164,hsa05168,hsa05418,","1.33333333","interaction","NFKB1 (interaction) IL1B","11","NA","false","interaction","NFKB1 (interaction) IL1B"
"246443","hsa01523,hsa04064,hsa04622,hsa04660,hsa04931,hsa04932,hsa04933,hsa05140,hsa05145,hsa05152,hsa05160,hsa05161,hsa05164,hsa05168,hsa05169,hsa05321,hsa05418,","1.25","interaction","RELA (interaction) TNF","17","NA","false","interaction","RELA (interaction) TNF"
"246449","hsa01523,hsa04623,hsa04657,hsa04931,hsa04932,hsa04933,hsa05152,hsa05161,hsa05164,hsa05166,hsa05167,hsa05168,hsa05169,","1.0","interaction","RELA (interaction) IL6","13","NA","false","interaction","RELA (interaction) IL6"
"246448","hsa01523,hsa04620,hsa04623,hsa04657,hsa04931,hsa04932,hsa04933,hsa05152,hsa05161,hsa05164,hsa05166,hsa05167,hsa05168,hsa05169,","1.0","interaction","NFKB1 (interaction) IL6","14","NA","false","interaction","NFKB1 (interaction) IL6"
"246454","hsa01524,hsa04115,hsa04210,hsa05161,hsa05169,","37.0","interaction","TP53 (interaction) BAX","5","NA","false","interaction","TP53 (interaction) BAX"
"246452","hsa01524,hsa04115,hsa04210,hsa05161,","5.0","interaction","TP53 (interaction) FAS","4","NA","false","interaction","TP53 (interaction) FAS"
"246458","hsa01524,hsa04115,hsa04210,","37.0","interaction","TP53 (interaction) PMAIP1","3","NA","false","interaction","TP53 (interaction) PMAIP1"
