"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"247793","1.0","0.0","1.0","0.0","1","1","0","false","KIR2DL4","37.0","1","0","false","0","KIR2DL4","0"
"247791","1.0","0.0","1.0","0.0","1","1","0","false","KIR2DL3","37.0","1","0","false","0","KIR2DL3","0"
"249846","0.0","0.0","0.0","0.01388889","0","9","9","false","HLADMA","26.666666666666668","0","0","false","0","HLADMA","0"
"247797","1.0","0.0","1.0","0.0","1","1","0","false","HLAA","37.0","1","0","false","0","HLAA","0"
"247795","1.0","0.0","1.0","0.0","1","1","0","false","KIR2DL5A","37.0","1","0","false","0","KIR2DL5A","0"
"249850","0.0","0.0","0.0","0.01388889","0","9","9","false","HLADOA","26.666666666666668","0","0","false","0","HLADOA","0"
"247801","1.0","0.0","1.0","0.0","1","1","0","false","HLAC","37.0","1","0","false","0","HLAC","0"
"249848","0.0","0.0","0.0","0.01388889","0","9","9","false","HLADMB","26.666666666666668","0","0","false","0","HLADMB","0"
"247799","1.0","0.0","1.0","0.0","1","1","0","false","HLAB","37.0","1","0","false","0","HLAB","0"
"249854","0.0","0.0","0.0","0.01388889","0","9","9","false","HLADPA1","26.666666666666668","0","0","false","0","HLADPA1","0"
"247805","1.0","0.0","1.0","0.0","1","1","0","false","HLAF","37.0","1","0","false","0","HLAF","0"
"249852","0.0","0.0","0.0","0.01388889","0","9","9","false","HLADOB","26.666666666666668","0","0","false","0","HLADOB","0"
"247803","1.0","0.0","1.0","0.0","1","1","0","false","HLAE","37.0","1","0","false","0","HLAE","0"
"249858","0.0","0.0","0.0","0.01388889","0","9","9","false","HLADQA1","26.666666666666668","0","0","false","0","HLADQA1","0"
"247809","2.59800664","0.0","0.38491049","0.025","4","16","0","false","LEF1","29.125","16","0","false","0","LEF1","0"
"249856","0.0","0.0","0.0","0.01388889","0","9","9","false","HLADPB1","26.666666666666668","0","0","false","0","HLADPB1","0"
"247807","1.0","0.0","1.0","0.0","1","1","0","false","HLAG","37.0","1","0","false","0","HLAG","0"
"249862","0.0","0.0","0.0","0.01388889","0","9","9","false","HLADQB1","26.666666666666668","0","0","false","0","HLADQB1","0"
"247813","2.59800664","0.0","0.38491049","0.025","4","16","0","false","TCF7L2","29.125","16","0","false","0","TCF7L2","0"
"249860","0.0","0.0","0.0","0.01388889","0","9","9","false","HLADQA2","26.666666666666668","0","0","false","0","HLADQA2","0"
"247811","2.59800664","0.0","0.38491049","0.025","4","16","0","false","TCF7","29.125","16","0","false","0","TCF7","0"
"249866","0.0","0.0","0.0","0.01388889","0","9","9","false","HLADRB1","26.666666666666668","0","0","false","0","HLADRB1","0"
"249864","0.0","0.0","0.0","0.01388889","0","9","9","false","HLADRA","26.666666666666668","0","0","false","0","HLADRA","0"
"247815","2.59800664","0.0","0.38491049","0.025","4","16","0","false","TCF7L1","29.125","16","0","false","0","TCF7L1","0"
"249870","0.0","0.0","0.0","0.01388889","0","9","9","false","HLADRB4","26.666666666666668","0","0","false","0","HLADRB4","0"
"247821","2.04081633","1.1424E-4","0.49","0.02339181","3","19","12","false","FOSL1","18.42105263157895","7","0","false","0","FOSL1","224"
"249868","0.0","0.0","0.0","0.01388889","0","9","9","false","HLADRB3","26.666666666666668","0","0","false","0","HLADRB3","0"
"249872","0.0","0.0","0.0","0.01388889","0","9","9","false","HLADRB5","26.666666666666668","0","0","false","0","HLADRB5","0"
"247828","0.0","0.0","0.0","0.01609195","0","30","30","false","CCND3","29.933333333333334","0","0","false","0","CCND3","0"
"249879","1.0","0.0","1.0","0.0","1","3","0","false","TICAM1","10.666666666666666","3","0","false","0","TICAM1","0"
