NODEA	INTERACTION	NODEB	NPATHWAYS	PATHWAY	ALL-PATH-LIST
FOXO3	interaction	BCL2L11	3	NA	hsa01521,hsa04068,hsa04151,
NFKB1	interaction	TNF	18	NA	hsa01523,hsa04064,hsa04620,hsa04622,hsa04660,hsa04931,hsa04932,hsa04933,hsa05140,hsa05145,hsa05152,hsa05160,hsa05161,hsa05164,hsa05168,hsa05169,hsa05321,hsa05418,
RELA	interaction	TNF	17	NA	hsa01523,hsa04064,hsa04622,hsa04660,hsa04931,hsa04932,hsa04933,hsa05140,hsa05145,hsa05152,hsa05160,hsa05161,hsa05164,hsa05168,hsa05169,hsa05321,hsa05418,
NFKB1	interaction	IL1B	11	NA	hsa01523,hsa04064,hsa04620,hsa04932,hsa04933,hsa05140,hsa05142,hsa05152,hsa05164,hsa05168,hsa05418,
RELA	interaction	IL1B	10	NA	hsa01523,hsa04064,hsa04932,hsa04933,hsa05140,hsa05142,hsa05152,hsa05164,hsa05168,hsa05418,
NFKB1	interaction	IL6	14	NA	hsa01523,hsa04620,hsa04623,hsa04657,hsa04931,hsa04932,hsa04933,hsa05152,hsa05161,hsa05164,hsa05166,hsa05167,hsa05168,hsa05169,
RELA	interaction	IL6	13	NA	hsa01523,hsa04623,hsa04657,hsa04931,hsa04932,hsa04933,hsa05152,hsa05161,hsa05164,hsa05166,hsa05167,hsa05168,hsa05169,
TP53	interaction	FAS	4	NA	hsa01524,hsa04115,hsa04210,hsa05161,
TP53	interaction	BAX	5	NA	hsa01524,hsa04115,hsa04210,hsa05161,hsa05169,
TP53	interaction	BAK1	3	NA	hsa01524,hsa04210,hsa05169,
TP53	interaction	PMAIP1	3	NA	hsa01524,hsa04115,hsa04210,
TP53	interaction	BBC3	2	NA	hsa01524,hsa04210,
PPARA	interaction	HMGCS2	1	hsa03320	hsa03320
PPARA	interaction	HMGCS1	1	hsa03320	hsa03320
RXRA	interaction	HMGCS2	1	hsa03320	hsa03320
RXRA	interaction	HMGCS1	1	hsa03320	hsa03320
RXRB	interaction	HMGCS2	1	hsa03320	hsa03320
RXRG	interaction	HMGCS2	1	hsa03320	hsa03320
RXRB	interaction	HMGCS1	1	hsa03320	hsa03320
RXRG	interaction	HMGCS1	1	hsa03320	hsa03320
PPARA	interaction	APOA1	1	hsa03320	hsa03320
RXRA	interaction	APOA1	1	hsa03320	hsa03320
RXRB	interaction	APOA1	1	hsa03320	hsa03320
RXRG	interaction	APOA1	1	hsa03320	hsa03320
PPARA	interaction	APOA2	1	hsa03320	hsa03320
RXRA	interaction	APOA2	1	hsa03320	hsa03320
RXRB	interaction	APOA2	1	hsa03320	hsa03320
RXRG	interaction	APOA2	1	hsa03320	hsa03320
PPARA	interaction	APOC3	1	hsa03320	hsa03320
RXRA	interaction	APOC3	1	hsa03320	hsa03320
RXRB	interaction	APOC3	1	hsa03320	hsa03320
RXRG	interaction	APOC3	1	hsa03320	hsa03320
PPARA	interaction	APOA5	1	hsa03320	hsa03320
RXRA	interaction	APOA5	1	hsa03320	hsa03320
RXRB	interaction	APOA5	1	hsa03320	hsa03320
RXRG	interaction	APOA5	1	hsa03320	hsa03320
PPARA	interaction	PLTP	1	hsa03320	hsa03320
RXRA	interaction	PLTP	1	hsa03320	hsa03320
RXRB	interaction	PLTP	1	hsa03320	hsa03320
RXRG	interaction	PLTP	1	hsa03320	hsa03320
PPARA	interaction	ME1	1	hsa03320	hsa03320
PPARA	interaction	ME3	1	hsa03320	hsa03320
RXRA	interaction	ME1	1	hsa03320	hsa03320
RXRA	interaction	ME3	1	hsa03320	hsa03320
RXRB	interaction	ME1	1	hsa03320	hsa03320
RXRG	interaction	ME1	1	hsa03320	hsa03320
RXRB	interaction	ME3	1	hsa03320	hsa03320
RXRG	interaction	ME3	1	hsa03320	hsa03320
PPARA	interaction	SCD	1	hsa03320	hsa03320
PPARA	interaction	SCD5	1	hsa03320	hsa03320
RXRA	interaction	SCD	1	hsa03320	hsa03320
RXRA	interaction	SCD5	1	hsa03320	hsa03320
RXRB	interaction	SCD	1	hsa03320	hsa03320
RXRG	interaction	SCD	1	hsa03320	hsa03320
RXRB	interaction	SCD5	1	hsa03320	hsa03320
RXRG	interaction	SCD5	1	hsa03320	hsa03320
PPARA	interaction	FADS2	1	hsa03320	hsa03320
RXRA	interaction	FADS2	1	hsa03320	hsa03320
RXRB	interaction	FADS2	1	hsa03320	hsa03320
RXRG	interaction	FADS2	1	hsa03320	hsa03320
PPARA	interaction	CYP7A1	1	hsa03320	hsa03320
RXRA	interaction	CYP7A1	1	hsa03320	hsa03320
RXRB	interaction	CYP7A1	1	hsa03320	hsa03320
RXRG	interaction	CYP7A1	1	hsa03320	hsa03320
PPARA	interaction	CYP8B1	1	hsa03320	hsa03320
RXRA	interaction	CYP8B1	1	hsa03320	hsa03320
RXRB	interaction	CYP8B1	1	hsa03320	hsa03320
RXRG	interaction	CYP8B1	1	hsa03320	hsa03320
PPARA	interaction	NR1H3	1	hsa03320	hsa03320
RXRA	interaction	NR1H3	1	hsa03320	hsa03320
RXRB	interaction	NR1H3	1	hsa03320	hsa03320
RXRG	interaction	NR1H3	1	hsa03320	hsa03320
PPARA	interaction	DBI	1	hsa03320	hsa03320
RXRA	interaction	DBI	1	hsa03320	hsa03320
RXRB	interaction	DBI	1	hsa03320	hsa03320
RXRG	interaction	DBI	1	hsa03320	hsa03320
PPARA	interaction	FABP1	1	hsa03320	hsa03320
PPARA	interaction	FABP4	1	hsa03320	hsa03320
PPARA	interaction	FABP2	1	hsa03320	hsa03320
PPARA	interaction	FABP3	1	hsa03320	hsa03320
PPARA	interaction	FABP5	1	hsa03320	hsa03320
PPARA	interaction	FABP6	1	hsa03320	hsa03320
PPARA	interaction	FABP7	1	hsa03320	hsa03320
RXRA	interaction	FABP1	1	hsa03320	hsa03320
RXRA	interaction	FABP4	1	hsa03320	hsa03320
RXRA	interaction	FABP2	1	hsa03320	hsa03320
RXRA	interaction	FABP3	1	hsa03320	hsa03320
RXRA	interaction	FABP5	1	hsa03320	hsa03320
RXRA	interaction	FABP6	1	hsa03320	hsa03320
RXRA	interaction	FABP7	1	hsa03320	hsa03320
RXRB	interaction	FABP1	1	hsa03320	hsa03320
RXRG	interaction	FABP1	1	hsa03320	hsa03320
RXRB	interaction	FABP4	1	hsa03320	hsa03320
RXRB	interaction	FABP2	1	hsa03320	hsa03320
RXRB	interaction	FABP3	1	hsa03320	hsa03320
RXRB	interaction	FABP5	1	hsa03320	hsa03320
RXRB	interaction	FABP6	1	hsa03320	hsa03320
RXRB	interaction	FABP7	1	hsa03320	hsa03320
RXRG	interaction	FABP4	1	hsa03320	hsa03320
RXRG	interaction	FABP2	1	hsa03320	hsa03320
RXRG	interaction	FABP3	1	hsa03320	hsa03320
RXRG	interaction	FABP5	1	hsa03320	hsa03320
RXRG	interaction	FABP6	1	hsa03320	hsa03320
RXRG	interaction	FABP7	1	hsa03320	hsa03320
PPARA	interaction	SLC27A4	1	hsa03320	hsa03320
PPARA	interaction	SLC27A5	1	hsa03320	hsa03320
PPARA	interaction	SLC27A2	1	hsa03320	hsa03320
PPARA	interaction	SLC27A6	1	hsa03320	hsa03320
PPARA	interaction	SLC27A1	1	hsa03320	hsa03320
RXRA	interaction	SLC27A4	1	hsa03320	hsa03320
RXRA	interaction	SLC27A5	1	hsa03320	hsa03320
RXRA	interaction	SLC27A2	1	hsa03320	hsa03320
RXRA	interaction	SLC27A6	1	hsa03320	hsa03320
RXRA	interaction	SLC27A1	1	hsa03320	hsa03320
RXRB	interaction	SLC27A4	1	hsa03320	hsa03320
RXRG	interaction	SLC27A4	1	hsa03320	hsa03320
RXRB	interaction	SLC27A5	1	hsa03320	hsa03320
RXRB	interaction	SLC27A2	1	hsa03320	hsa03320
RXRB	interaction	SLC27A6	1	hsa03320	hsa03320
RXRB	interaction	SLC27A1	1	hsa03320	hsa03320
RXRG	interaction	SLC27A5	1	hsa03320	hsa03320
RXRG	interaction	SLC27A2	1	hsa03320	hsa03320
RXRG	interaction	SLC27A6	1	hsa03320	hsa03320
RXRG	interaction	SLC27A1	1	hsa03320	hsa03320
PPARA	interaction	LPL	1	hsa03320	hsa03320
RXRA	interaction	LPL	1	hsa03320	hsa03320
RXRB	interaction	LPL	1	hsa03320	hsa03320
RXRG	interaction	LPL	1	hsa03320	hsa03320
PPARA	interaction	ACSL1	1	hsa03320	hsa03320
PPARA	interaction	ACSL3	1	hsa03320	hsa03320
PPARA	interaction	ACSL4	1	hsa03320	hsa03320
PPARA	interaction	ACSBG1	1	hsa03320	hsa03320
PPARA	interaction	ACSL6	1	hsa03320	hsa03320
PPARA	interaction	ACSL5	1	hsa03320	hsa03320
PPARA	interaction	ACSBG2	1	hsa03320	hsa03320
RXRA	interaction	ACSL1	1	hsa03320	hsa03320
